,event_type,img_id,loc_left,loc_top,time
10444,mouseout,img_5F,198px,426.267px,1634202683.026
10445,mouseover,img_5F,198px,426.267px,1634202683.027
10446,mouseover,img_5F,198px,426.267px,1634202683.126
10447,mouseout,img_5F,198px,426.267px,1634202683.125
10448,mouseover,img_5F,198px,426.267px,1634202683.143
10449,mouseout,img_5F,198px,426.267px,1634202683.142
10450,mouseover,img_5F,198px,426.267px,1634202683.293
10451,mouseout,img_5F,198px,426.267px,1634202683.292
10452,mouseover,img_5F,198px,426.267px,1634202683.465
10453,mouseout,img_5F,198px,426.267px,1634202683.464
10454,mouseover,img_5F,198px,426.267px,1634202683.526
10455,mouseout,img_5F,198px,426.267px,1634202683.525
10456,mouseover,img_5F,198px,426.267px,1634202684.151
10457,mouseout,img_5F,198px,426.267px,1634202684.15
10458,mouseover,img_5F,198px,426.267px,1634202684.259
10459,mouseout,img_5F,198px,426.267px,1634202684.258
10460,mouseover,img_5F,198px,426.267px,1634202684.461
10461,mouseout,img_5F,198px,426.267px,1634202684.46
10462,mouseover,img_5F,198px,426.267px,1634202684.525
10463,mouseout,img_5F,198px,426.267px,1634202684.524
10464,mouseout,img_5F,198px,426.267px,1634202684.574
10465,mouseover,img_5,350px,230px,1634202684.607
10466,mouseout,img_5,350px,230px,1634202684.64
10467,mouseover,img_5,350px,230px,1634202684.641
10468,mouseout,img_5,350px,230px,1634202684.657
10469,mouseover,img_5,350px,230px,1634202684.658
10470,mouseout,img_5,350px,230px,1634202684.74
10471,mouseover,img_5,350px,230px,1634202684.741
10472,mouseout,img_5,350px,230px,1634202684.774
10473,mouseover,img_5,350px,230px,1634202684.774
10474,mouseout,img_5,350px,230px,1634202684.79
10475,mouseover,img_5,350px,230px,1634202684.791
10476,mouseout,img_5,350px,230px,1634202684.807
10477,mouseover,img_5,350px,230px,1634202684.807
10478,mouseout,img_5,350px,230px,1634202685.057
10479,mouseover,img_5,350px,230px,1634202685.058
10480,mouseout,img_5,350px,230px,1634202685.207
10481,mouseover,img_5,350px,230px,1634202685.208
10482,mouseout,img_5,350px,230px,1634202686.472
10483,mouseover,img_5,350px,230px,1634202686.474
10484,mouseout,img_5,350px,230px,1634202686.523
10485,mouseover,img_5,350px,230px,1634202686.525
10486,mouseout,img_5,350px,230px,1634202686.605
10487,mouseover,img_5,350px,230px,1634202686.606
10488,mouseout,img_5,350px,230px,1634202686.622
10489,mouseover,img_5,350px,230px,1634202686.623
10490,mouseout,img_5,350px,230px,1634202686.638
10491,mouseover,img_5,350px,230px,1634202686.639
10492,mouseout,img_5,350px,230px,1634202686.722
10493,mouseover,img_5F,198px,426.267px,1634202686.738
10494,mouseout,img_5F,198px,426.267px,1634202686.755
10495,mouseover,img_5F,198px,426.267px,1634202686.756
10496,mouseout,img_5F,198px,426.267px,1634202686.772
10497,mouseover,img_5F,198px,426.267px,1634202686.772
10498,mouseout,img_5F,198px,426.267px,1634202686.888
10499,mouseover,img_5F,198px,426.267px,1634202686.89
10500,mouseover,img_5F,198px,426.267px,1634202687.156
10501,mouseout,img_5F,198px,426.267px,1634202687.154
10502,mouseover,img_5F,198px,426.267px,1634202687.358
10503,mouseout,img_5F,198px,426.267px,1634202687.356
10504,mouseout,img_5F,198px,426.267px,1634202687.789
10505,mouseover,img_5F,198px,426.267px,1634202687.789
10506,mouseout,img_5F,198px,426.267px,1634202687.804
10507,mouseover,img_5F,198px,426.267px,1634202687.805
10508,mouseout,img_5F,198px,426.267px,1634202688.97
10509,mouseover,img_5F,198px,426.267px,1634202688.97
10510,mouseout,img_5F,198px,426.267px,1634202688.986
10511,mouseover,img_5F,198px,426.267px,1634202688.987
10512,mouseover,img_5F,198px,426.267px,1634202689.004
10513,mouseout,img_5F,198px,426.267px,1634202689.003
10514,mouseover,img_5F,198px,426.267px,1634202689.037
10515,mouseout,img_5F,198px,426.267px,1634202689.036
10516,mouseover,img_5F,198px,426.267px,1634202689.637
10517,mouseout,img_5F,198px,426.267px,1634202689.636
10518,mouseover,img_5F,198px,426.267px,1634202689.704
10519,mouseout,img_5F,198px,426.267px,1634202689.703
10520,mouseover,img_5F,198px,426.267px,1634202689.837
10521,mouseout,img_5F,198px,426.267px,1634202689.836
10522,mouseover,img_5F,198px,426.267px,1634202689.954
10523,mouseout,img_5F,198px,426.267px,1634202689.952
10524,mouseover,img_5F,198px,426.267px,1634202694.799
10525,mouseout,img_5F,198px,426.267px,1634202694.799
10526,mouseover,img_5F,198px,426.267px,1634202694.882
10527,mouseout,img_5F,198px,426.267px,1634202694.881
10528,drag-start-playground,img_5F,198px,426.267px,1634202695.465
10529,mouseover,img_5F,296px,458.267px,1634202695.637
10530,mouseout,img_5F,296px,458.267px,1634202695.636
10531,mouseout,img_5F,309px,463.267px,1634202695.68
10532,mouseover,img_5F,322px,467.267px,1634202695.684
10533,mouseout,img_5F,322px,467.267px,1634202695.683
10534,mouseover,img_5F,309px,463.267px,1634202695.68
10535,mouseout,img_5F,322px,467.267px,1634202695.696
10536,mouseover,img_5F,322px,467.267px,1634202695.697
10537,mouseout,img_5F,330px,470.267px,1634202695.699
10538,mouseover,img_5F,330px,470.267px,1634202695.699
10539,mouseout,img_5F,330px,470.267px,1634202695.713
10540,mouseover,img_5F,330px,470.267px,1634202695.714
10541,mouseout,img_5F,347px,475.267px,1634202695.716
10542,mouseover,img_5F,347px,475.267px,1634202695.716
10543,mouseout,img_5F,347px,475.267px,1634202695.73
10544,mouseout,img_5F,368px,478.267px,1634202695.736
10545,mouseover,img_5F,347px,475.267px,1634202695.732
10546,mouseover,img_5F,368px,478.267px,1634202695.737
10547,mouseout,img_5F,368px,478.267px,1634202695.746
10548,mouseover,img_5F,368px,478.267px,1634202695.747
